Date,Value
2014-11-30,15.6
2014-10-31,15.5
2014-09-30,15.3
2014-08-31,15.3
2014-07-31,15.2
2014-06-30,15.2
2014-05-31,15.1
2014-04-30,15.1
2014-03-31,15.0
2014-02-28,14.7
2014-01-31,14.6
2013-12-31,14.3
2013-11-30,14.1
2013-10-31,13.9
2013-09-30,13.7
2013-08-31,13.2
2013-07-31,12.5
2013-06-30,11.8
2013-05-31,11.2
2013-04-30,11.0
2013-03-31,10.9
2013-02-28,10.8
2013-01-31,11.0
2012-12-31,11.0
2012-11-30,11.2
2012-10-31,11.3
2012-09-30,11.8
2012-08-31,11.9
2012-07-31,11.9
2012-06-30,12.4
2012-05-31,13.3
2012-04-30,14.6
2012-03-31,15.1
2012-02-29,15.3
2012-01-31,15.4
2011-12-31,15.6
2011-11-30,16.2
2011-10-31,16.5
2011-09-30,17.1
2011-08-31,17.5
2011-07-31,17.5
2011-06-30,17.1
2011-05-31,16.9
2011-04-30,16.8
2011-03-31,16.8
2011-02-28,16.53
2011-01-31,16.16
2010-12-31,15.53
2010-11-30,15.48
2010-10-31,15.71
2010-09-30,16.53
2010-08-31,16.38
2010-07-31,15.62
2010-06-30,14.52
2010-05-31,14.04
2010-04-30,13.78
2010-03-31,13.52
2010-02-28,13.67
2010-01-31,14.04
2009-12-31,13.85
2009-11-30,13.47
2009-10-31,13.45
2009-09-30,13.89
2009-08-31,14.21
2009-07-31,14.73
2009-06-30,15.27
2009-05-31,16.28
2009-04-30,17.07
2009-03-31,19.03
2009-02-28,20.51
2009-01-31,21.52
2008-12-31,21.78
2008-11-30,20.75
2008-10-31,19.25
2008-09-30,17.46
2008-08-31,16.78
2008-07-31,16.42
2008-06-30,16.21
2008-05-31,15.29
2008-04-30,14.68
2008-03-31,14.1
2008-02-29,14.24
2008-01-31,14.35
2007-12-31,13.79
2007-11-30,13.72
2007-10-31,13.6
2007-09-30,14.26
2007-08-31,14.21
2007-07-31,14.44
2007-06-30,14.23
2007-05-31,14.74
2007-04-30,14.77
2007-03-31,14.99
2007-02-28,15.32
2007-01-31,15.82
2006-12-31,16.09
2006-11-30,16.15
2006-10-31,16.69
2006-09-30,17.16
2006-08-31,17.69
2006-07-31,18.1
2006-06-30,18.39
2006-05-31,18.52
2006-04-30,19.01
2006-03-31,19.81
2006-02-28,20.69
2006-01-31,21.19
2005-12-31,21.43
2005-11-30,21.2
2005-10-31,21.07
2005-09-30,21.07
2005-08-31,21.16
2005-07-31,21.35
2005-06-30,21.64
2005-05-31,21.35
2005-04-30,20.68
2005-03-31,19.79
2005-02-28,19.4
2005-01-31,19.11
